CPLANE2	CPLANE2
FBXO42	FBXO42
SZRD1	SZRD1
SPATA21	SPATA21
NECAP2	NECAP2
LINC01772	LINC01772
AL137802.2	AL137802.2
NBPF1	NBPF1
CROCC	CROCC
BX284668.5	BX284668.5
BX284668.6	BX284668.6
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
PADI4	PADI4
RCC2	RCC2
ARHGEF10L	ARHGEF10L
IGSF21	IGSF21
ALDH4A1	ALDH4A1
IFFO2	IFFO2
AL137127.1	AL137127.1
UBR4	UBR4
EMC1-AS1	EMC1-AS1
EMC1	EMC1
MRTO4	MRTO4
AKR7A2	AKR7A2
SLC66A1	SLC66A1
CAPZB	CAPZB
MICOS10	MICOS10
NBL1	NBL1
TMCO4	TMCO4
OTUD3	OTUD3
PLA2G2D	PLA2G2D
Z98257.1	Z98257.1
PLA2G2C	PLA2G2C
UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10
CAMK2N1	CAMK2N1
MUL1	MUL1
CDA	CDA
PINK1	PINK1
PINK1-AS	PINK1-AS
DDOST	DDOST
KIF17	KIF17
SH2D5	SH2D5
HP1BP3	HP1BP3
EIF4G3	EIF4G3
AL031005.2	AL031005.2
ECE1	ECE1
AL031005.1	AL031005.1
AL031728.1	AL031728.1
NBPF3	NBPF3
ALPL	ALPL
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
LINC01635	LINC01635
LINC00339	LINC00339
CDC42	CDC42
CDC42-AS1	CDC42-AS1
CDC42-IT1	CDC42-IT1
WNT4	WNT4
ZBTB40	ZBTB40
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
KDM1A	KDM1A
LUZP1	LUZP1
LINC01355	LINC01355
AL109936.6	AL109936.6
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
TCEA3	TCEA3
E2F2	E2F2
ID3	ID3
RPL11	RPL11
ELOA-AS1	ELOA-AS1
ELOA	ELOA
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
PNRC2	PNRC2
SRSF10	SRSF10
IFNLR1	IFNLR1
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3AS	RCAN3AS
RCAN3	RCAN3
NCMAP-DT	NCMAP-DT
NCMAP	NCMAP
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
AL445471.2	AL445471.2
AL031432.1	AL031432.1
SYF2	SYF2
AL031432.4	AL031432.4
AL031432.5	AL031432.5
RSRP1	RSRP1
AL031432.3	AL031432.3
RHD	RHD
TMEM50A	TMEM50A
RHCE	RHCE
MACO1	MACO1
LDLRAP1	LDLRAP1
AL606491.1	AL606491.1
MAN1C1	MAN1C1
AL031280.1	AL031280.1
SELENON	SELENON
AL020996.1	AL020996.1
MTFR1L	MTFR1L
AUNIP	AUNIP
AL033528.2	AL033528.2
PAQR7	PAQR7
STMN1	STMN1
PAFAH2	PAFAH2
SLC30A2	SLC30A2
TRIM63	TRIM63
PDIK1L	PDIK1L
ZNF593	ZNF593
CNKSR1	CNKSR1
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
CRYBG2	CRYBG2
ZNF683	ZNF683
DHDDS	DHDDS
HMGN2	HMGN2
RPS6KA1	RPS6KA1
AL512408.1	AL512408.1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
SFN	SFN
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
KDF1	KDF1
TRNP1	TRNP1
TENT5B	TENT5B
SLC9A1	SLC9A1
WDTC1	WDTC1
TMEM222	TMEM222
SYTL1	SYTL1
MAP3K6	MAP3K6
CD164L2	CD164L2
GPR3	GPR3
WASF2	WASF2
BX293535.1	BX293535.1
AHDC1	AHDC1
FGR	FGR
LINC02574	LINC02574
IFI6	IFI6
AL020997.5	AL020997.5
FAM76A	FAM76A
STX12	STX12
AL020997.2	AL020997.2
AL020997.3	AL020997.3
PPP1R8	PPP1R8
THEMIS2	THEMIS2
RPA2	RPA2
SMPDL3B	SMPDL3B
XKR8	XKR8
EYA3	EYA3
PTAFR	PTAFR
DNAJC8	DNAJC8
ATP5IF1	ATP5IF1
AL353622.1	AL353622.1
AL353622.2	AL353622.2
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
SNHG3	SNHG3
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
TAF12	TAF12
RAB42	RAB42
LINC01715	LINC01715
AL360012.1	AL360012.1
GMEB1	GMEB1
YTHDF2	YTHDF2
EPB41	EPB41
TMEM200B	TMEM200B
SRSF4	SRSF4
MECR	MECR
PTPRU	PTPRU
MATN1	MATN1
MATN1-AS1	MATN1-AS1
AL137857.1	AL137857.1
LAPTM5	LAPTM5
SDC3	SDC3
PUM1	PUM1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
FABP3	FABP3
SERINC2	SERINC2
LINC01226	LINC01226
TINAGL1	TINAGL1
HCRTR1	HCRTR1
PEF1	PEF1
AC114488.3	AC114488.3
COL16A1	COL16A1
ADGRB2	ADGRB2
SPOCD1	SPOCD1
AL136115.2	AL136115.2
PTP4A2	PTP4A2
AL136115.1	AL136115.1
KHDRBS1	KHDRBS1
AL445248.1	AL445248.1
TMEM39B	TMEM39B
KPNA6	KPNA6
AL049795.2	AL049795.2
TXLNA	TXLNA
CCDC28B	CCDC28B
IQCC	IQCC
TMEM234	TMEM234
EIF3I	EIF3I
FAM167B	FAM167B
LCK	LCK
HDAC1	HDAC1
MARCKSL1	MARCKSL1
TSSK3	TSSK3
FAM229A	FAM229A
BSDC1	BSDC1
ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
KIAA1522	KIAA1522
YARS	YARS
S100PBP	S100PBP
FNDC5	FNDC5
HPCA	HPCA
TMEM54	TMEM54
AL031602.2	AL031602.2
RNF19B	RNF19B
AK2	AK2
AZIN2	AZIN2
TRIM62	TRIM62
AL662907.3	AL662907.3
ZNF362	ZNF362
AL513327.1	AL513327.1
PHC2	PHC2
ZSCAN20	ZSCAN20
CSMD2	CSMD2
SMIM12	SMIM12
DLGAP3	DLGAP3
TMEM35B	TMEM35B
ZMYM6	ZMYM6
ZMYM1	ZMYM1
AL590434.1	AL590434.1
SFPQ	SFPQ
ZMYM4	ZMYM4
KIAA0319L	KIAA0319L
NCDN	NCDN
AC004865.2	AC004865.2
TFAP2E	TFAP2E
PSMB2	PSMB2
C1orf216	C1orf216
CLSPN	CLSPN
AGO4	AGO4
AGO1	AGO1
AL139286.3	AL139286.3
AL139286.2	AL139286.2
AGO3	AGO3
TEKT2	TEKT2
ADPRHL2	ADPRHL2
COL8A2	COL8A2
TRAPPC3	TRAPPC3
MAP7D1	MAP7D1
THRAP3	THRAP3
SH3D21	SH3D21
EVA1B	EVA1B
AL591845.1	AL591845.1
STK40	STK40
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
CSF3R	CSF3R
LINC01137	LINC01137
ZC3H12A	ZC3H12A
MEAF6	MEAF6
SNIP1	SNIP1
GNL2	GNL2
C1orf109	C1orf109
CDCA8	CDCA8
MANEAL	MANEAL
YRDC	YRDC
C1orf122	C1orf122
MTF1	MTF1
AL929472.2	AL929472.2
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11	UTP11
POU3F1	POU3F1
LINC01685	LINC01685
RRAGC	RRAGC
AL139260.1	AL139260.1
MYCBP	MYCBP
GJA9	GJA9
RHBDL2	RHBDL2
AKIRIN1	AKIRIN1
NDUFS5	NDUFS5
MACF1	MACF1
AL356055.1	AL356055.1
AL442071.2	AL442071.2
BMP8A	BMP8A
PABPC4	PABPC4
PABPC4-AS1	PABPC4-AS1
HEYL	HEYL
HPCAL4	HPCAL4
PPIE	PPIE
BMP8B	BMP8B
OXCT2	OXCT2
AL033527.4	AL033527.4
TRIT1	TRIT1
MYCL	MYCL
MFSD2A	MFSD2A
CAP1	CAP1
PPT1	PPT1
RLF	RLF
TMCO2	TMCO2
AL050341.2	AL050341.2
ZMPSTE24	ZMPSTE24
COL9A2	COL9A2
SMAP2	SMAP2
ZFP69B	ZFP69B
AL031985.3	AL031985.3
ZFP69	ZFP69
AL603839.3	AL603839.3
EXO5	EXO5
ZNF684	ZNF684
RIMS3	RIMS3
NFYC-AS1	NFYC-AS1
NFYC	NFYC
CITED4	CITED4
CTPS1	CTPS1
SLFNL1-AS1	SLFNL1-AS1
SLFNL1	SLFNL1
SCMH1	SCMH1
FOXO6	FOXO6
HIVEP3	HIVEP3
FOXJ3	FOXJ3
RIMKLA	RIMKLA
ZMYND12	ZMYND12
PPCS	PPCS
CCDC30	CCDC30
PPIH	PPIH
AC098484.4	AC098484.4
YBX1	YBX1
CLDN19	CLDN19
P3H1	P3H1
C1orf50	C1orf50
TMEM269	TMEM269
SVBP	SVBP
ERMAP	ERMAP
AL512353.1	AL512353.1
ZNF691	ZNF691
SLC2A1	SLC2A1
SLC2A1-AS1	SLC2A1-AS1
EBNA1BP2	EBNA1BP2
TMEM125	TMEM125
TIE1	TIE1
AL139289.2	AL139289.2
CDC20	CDC20
ELOVL1	ELOVL1
MED8	MED8
SZT2	SZT2
HYI	HYI
HYI-AS1	HYI-AS1
PTPRF	PTPRF
KDM4A	KDM4A
KDM4A-AS1	KDM4A-AS1
ST3GAL3	ST3GAL3
ARTN	ARTN
AL357079.1	AL357079.1
IPO13	IPO13
DPH2	DPH2
ATP6V0B	ATP6V0B
B4GALT2	B4GALT2
CCDC24	CCDC24
SLC6A9	SLC6A9
AL139220.2	AL139220.2
DMAP1	DMAP1
ERI3	ERI3
RNF220	RNF220
TMEM53	TMEM53
ARMH1	ARMH1
KIF2C	KIF2C
RPS8	RPS8
BEST4	BEST4
PLK3	PLK3
TCTEX1D4	TCTEX1D4
BTBD19	BTBD19
PTCH2	PTCH2
EIF2B3	EIF2B3
HECTD3	HECTD3
UROD	UROD
ZSWIM5	ZSWIM5
LINC01144	LINC01144
HPDL	HPDL
MUTYH	MUTYH
TOE1	TOE1
TESK2	TESK2
CCDC163	CCDC163
MMACHC	MMACHC
PRDX1	PRDX1
AKR1A1	AKR1A1
NASP	NASP
CCDC17	CCDC17
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
AL604028.1	AL604028.1
MAST2	MAST2
PIK3R3	PIK3R3
AL358075.2	AL358075.2
TSPAN1	TSPAN1
POMGNT1	POMGNT1
LURAP1	LURAP1
RAD54L	RAD54L
LRRC41	LRRC41
UQCRH	UQCRH
NSUN4	NSUN4
FAAH	FAAH
MKNK1	MKNK1
MOB3C	MOB3C
ATPAF1	ATPAF1
EFCAB14	EFCAB14
PDZK1IP1	PDZK1IP1
TAL1	TAL1
STIL	STIL
CMPK1	CMPK1
LINC01389	LINC01389
FOXD2-AS1	FOXD2-AS1
FOXD2	FOXD2
TRABD2B	TRABD2B
SLC5A9	SLC5A9
SPATA6	SPATA6
BEND5	BEND5
ELAVL4	ELAVL4
FAF1	FAF1
CDKN2C	CDKN2C
LINC01562	LINC01562
RNF11	RNF11
AL162430.2	AL162430.2
TTC39A	TTC39A
TTC39A-AS1	TTC39A-AS1
EPS15	EPS15
AC104170.2	AC104170.2
AC104170.1	AC104170.1
OSBPL9	OSBPL9
NRDC	NRDC
AL050343.2	AL050343.2
AL050343.3	AL050343.3
RAB3B	RAB3B
TXNDC12	TXNDC12
KTI12	KTI12
BTF3L4	BTF3L4
ZFYVE9	ZFYVE9
CC2D1B	CC2D1B
AL513218.2	AL513218.2
ORC1	ORC1
PRPF38A	PRPF38A
TUT4	TUT4
GPX7	GPX7
SHISAL2A	SHISAL2A
COA7	COA7
ZYG11B	ZYG11B
ZYG11A	ZYG11A
ECHDC2	ECHDC2
SCP2	SCP2
CPT2	CPT2
CZIB	CZIB
AL606760.3	AL606760.3
MAGOH	MAGOH
AL606760.1	AL606760.1
LRP8	LRP8
LINC01771	LINC01771
LINC02812	LINC02812
NDC1	NDC1
YIPF1	YIPF1
HSPB11	HSPB11
LRRC42	LRRC42
TMEM59	TMEM59
TCEANC2	TCEANC2
CYB5RL	CYB5RL
MRPL37	MRPL37
SSBP3	SSBP3
SSBP3-AS1	SSBP3-AS1
ACOT11	ACOT11
MROH7	MROH7
TTC4	TTC4
PARS2	PARS2
TTC22	TTC22
LEXM	LEXM
DHCR24	DHCR24
USP24	USP24
MIR4422HG	MIR4422HG
AC119674.1	AC119674.1
PLPP3	PLPP3
DAB1	DAB1
OMA1	OMA1
TACSTD2	TACSTD2
MYSM1	MYSM1
JUN	JUN
LINC01135	LINC01135
LINC02777	LINC02777
LINC01358	LINC01358
AC093425.1	AC093425.1
AC093424.1	AC093424.1
FGGY	FGGY
HOOK1	HOOK1
CYP2J2	CYP2J2
NFIA	NFIA
NFIA-AS2	NFIA-AS2
TM2D1	TM2D1
AC099791.2	AC099791.2
PATJ	PATJ
L1TD1	L1TD1
USP1	USP1
DOCK7	DOCK7
ATG4C	ATG4C
FOXD3	FOXD3
ALG6	ALG6
ITGB3BP	ITGB3BP
EFCAB7	EFCAB7
DLEU2L	DLEU2L
PGM1	PGM1
ROR1	ROR1
ROR1-AS1	ROR1-AS1
CACHD1	CACHD1
RAVER2	RAVER2
JAK1	JAK1
LINC01359	LINC01359
AL357078.2	AL357078.2
AK4	AK4
DNAJC6	DNAJC6
LEPROT	LEPROT
LEPR	LEPR
AC119800.1	AC119800.1
PDE4B	PDE4B
SGIP1	SGIP1
TCTEX1D1	TCTEX1D1
WDR78	WDR78
MIER1	MIER1
SLC35D1	SLC35D1
IL23R	IL23R
IL12RB2	IL12RB2
SERBP1	SERBP1
GADD45A	GADD45A
GNG12	GNG12
DIRAS3	DIRAS3
WLS	WLS
DEPDC1	DEPDC1
LRRC7	LRRC7
LRRC40	LRRC40
SRSF11	SRSF11
ANKRD13C	ANKRD13C
HHLA3	HHLA3
CTH	CTH
AL354872.2	AL354872.2
PTGER3	PTGER3
ZRANB2	ZRANB2
ZRANB2-AS2	ZRANB2-AS2
NEGR1	NEGR1
AL513166.1	AL513166.1
LRRIQ3	LRRIQ3
FPGT	FPGT
TNNI3K	TNNI3K
ERICH3	ERICH3
CRYZ	CRYZ
TYW3	TYW3
ACADM	ACADM
RABGGTB	RABGGTB
ST6GALNAC3	ST6GALNAC3
PIGK	PIGK
AK5	AK5
AC118549.1	AC118549.1
USP33	USP33
MIGA1	MIGA1
NEXN	NEXN
FUBP1	FUBP1
DNAJB4	DNAJB4
AC103591.3	AC103591.3
IFI44L	IFI44L
IFI44	IFI44
LINC01781	LINC01781
ADGRL2	ADGRL2
LINC01725	LINC01725
TTLL7	TTLL7
AL359504.2	AL359504.2
PRKACB	PRKACB
SAMD13	SAMD13
RPF1	RPF1
GNG5	GNG5
SPATA1	SPATA1
CTBS	CTBS
AL359762.1	AL359762.1
SSX2IP	SSX2IP
LPAR3	LPAR3
MCOLN2	MCOLN2
WDR63	WDR63
MCOLN3	MCOLN3
SYDE2	SYDE2
C1orf52	C1orf52
BCL10	BCL10
AL078459.1	AL078459.1
DDAH1	DDAH1
AC092807.3	AC092807.3
CCN1	CCN1
ZNHIT6	ZNHIT6
COL24A1	COL24A1
LINC02795	LINC02795
ODF2L	ODF2L
AL049597.2	AL049597.2
SH3GLB1	SH3GLB1
SELENOF	SELENOF
HS2ST1	HS2ST1
AL121989.1	AL121989.1
LINC01140	LINC01140
LINC02801	LINC02801
LMO4	LMO4
PKN2-AS1	PKN2-AS1
PKN2	PKN2
GTF2B	GTF2B
KYAT3	KYAT3
RBMXL1	RBMXL1
GBP3	GBP3
GBP1	GBP1
GBP2	GBP2
GBP4	GBP4
AC099063.4	AC099063.4
GBP5	GBP5
GBP6	GBP6
LRRC8B	LRRC8B
LRRC8C-DT	LRRC8C-DT
LRRC8C	LRRC8C
AC099568.1	AC099568.1
AC099568.2	AC099568.2
LRRC8D	LRRC8D
ZNF326	ZNF326
LINC02609	LINC02609
ZNF644	ZNF644
CDC7	CDC7
TGFBR3	TGFBR3
BRDT	BRDT
BTBD8	BTBD8
GLMN	GLMN
RPAP2	RPAP2
GFI1	GFI1
EVI5	EVI5
RPL5	RPL5
DIPK1A	DIPK1A
MTF2	MTF2
TMED5	TMED5
CCDC18	CCDC18
CCDC18-AS1	CCDC18-AS1
DR1	DR1
FNBP1L	FNBP1L
BCAR3	BCAR3
AL049796.1	AL049796.1
DNTTIP2	DNTTIP2
GCLM	GCLM
ARHGAP29	ARHGAP29
AC118469.2	AC118469.2
ABCD3	ABCD3
F3	F3
SLC44A3	SLC44A3
CNN3	CNN3
ALG14	ALG14
TLCD4	TLCD4
AC092802.1	AC092802.1
RWDD3	RWDD3
PTBP2	PTBP2
DPYD	DPYD
DPYD-IT1	DPYD-IT1
SNX7	SNX7
FRRS1	FRRS1
AGL	AGL
AC118553.1	AC118553.1
SLC35A3	SLC35A3
MFSD14A	MFSD14A
SASS6	SASS6
TRMT13	TRMT13
LRRC39	LRRC39
DBT	DBT
AL445928.2	AL445928.2
RTCA-AS1	RTCA-AS1
RTCA	RTCA
CDC14A	CDC14A
GPR88	GPR88
VCAM1	VCAM1
EXTL2	EXTL2
AC104506.1	AC104506.1
SLC30A7	SLC30A7
DPH5	DPH5
AC093157.2	AC093157.2
AC093157.1	AC093157.1
